,Latitude,Longitude,City Name,Country Code,Temperature,Cloudiness,Wind Speed,Humidity
0,14.265278,-90.126944,san jose acatempa,gt,75.2,20,16.11,68
1,48.15,21.65,tiszabercel,hu,43.11,90,10.29,80
2,-3.8833333,33.2,tinde,tz,77.77,12,4.38,77
3,11.8058,122.1939,naisud,ph,81.37,76,11.77,99
4,-20.183333,-44.766667,carmo do cajuru,br,82.45,0,8.41,55
5,49.019462,15.104118,nova bystrice,cz,42.76,92,22.06,73
6,41.6252778,-87.7175,midlothian,us,65.3,90,16.11,93
7,55.181608,36.660599,balabanovo,ru,38.32,90,13.42,74
8,8.2333333,-81.6833333,tole,pa,,,,
9,39.7227778,64.5516667,kogon,uz,52.52,0,9.17,25
10,45.872222,21.675556,brestovat,ro,,,,
11,43.7180556,17.2266667,tomislavgrad,ba,50,75,5.82,81
12,50.643579,2.987148,lomme,fr,45.48,75,3.36,75
13,45.883333,27.233333,marasesti,ro,,,,
14,34.0638889,-80.9583333,dentsville,us,59.67,1,4.7,63
15,56.7985,57.8994,achit,ru,26.83,88,8.75,91
16,41.7,-71.6833333,coventry,us,47.21,20,10.76,57
17,48.255422,28.935745,rudnytsya,ua,,,,
18,53.533333,7.95,schortens,de,41,20,13.87,65
19,17.883333,83.433333,bhimunipatnam,in,70.48,92,6.29,100
20,37.566667,15.05,mascalucia,it,69.03,0,20.8,24
21,41.5061111,-87.6355556,chicago heights,us,30.4,1,7.96,50
22,26.1,89.833333,golakganj,in,68.95,8,2.82,80
23,59.415189,56.812371,berezniki,ru,25.39,80,4.5,90
24,45.886389,20.958889,biled,ro,52.68,20,19.46,50
25,49.3,-124.316667,parksville,ca,40.5,75,8.05,95
26,50.078484,47.099355,savinka,ru,42.04,0,12.44,74
27,16.4775,121.1241,busilac,ph,66.25,88,2.15,98
28,-38.352612,141.605743,portland,au,55.9,56,2.93,85
29,48.933333,9.2,freiberg,de,39.31,75,19.46,74
30,49.92045,27.75918,lyubar,ua,48.88,92,16.8,100
31,38.4166667,23.65,ayios nikolaos,gr,70.75,20,18.34,35
32,53.497296,42.616319,zemetchino,ru,33.85,92,9.19,96
33,41.805,-87.8691667,la grange,us,29.03,1,8.05,58
34,47.383333,22.883333,chiesd,ro,44.6,92,23.04,87
